Date,Open,High,Low,Close,Adj Close,Volume
2008-05-19,1.558312,1.580878,1.549211,1.576491,1.576491,0
2008-05-26,1.576839,1.581803,1.546790,1.555791,1.555791,0
2008-06-02,1.556396,1.578607,1.537894,1.541521,1.541521,0
2008-06-09,1.579005,1.584209,1.531511,1.539196,1.539196,0
2008-06-16,1.539172,1.565190,1.535296,1.559989,1.559989,0
2008-06-23,1.559892,1.579904,1.547389,1.579405,1.579405,0
2008-06-30,1.579405,1.590508,1.566907,1.570327,1.570327,0
2008-07-07,1.570500,1.597214,1.531394,1.591394,1.591394,0
2008-07-14,1.591495,1.602821,1.579255,1.583306,1.583306,0
2008-07-21,1.583406,1.594210,1.563599,1.569908,1.569908,0
2008-07-28,1.569809,1.576491,1.552602,1.559308,1.559308,0
2008-08-04,1.533413,1.533601,1.499992,1.504891,1.504891,0
2008-08-11,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-25,1.461903,1.480801,1.457790,1.469508,1.469508,0
2008-09-01,1.469270,1.470307,1.420293,1.435050,1.435050,0
2008-09-08,1.504891,1.505004,1.389700,1.431250,1.431250,0
2008-09-15,1.430554,1.452707,1.408907,1.445003,1.445003,0
2008-09-22,1.445296,1.485707,1.421707,1.454292,1.454292,0
2008-09-29,1.454799,1.456028,1.362695,1.365803,1.365803,0
2008-10-06,1.365020,1.505004,1.328304,1.361600,1.361600,0
2008-10-13,1.361804,1.376103,1.335791,1.340608,1.340608,0
2008-10-20,1.340501,1.352686,1.250500,1.261607,1.261607,0
2008-10-27,1.263807,1.326594,1.234294,1.277188,1.277188,0
2008-11-03,1.277498,1.508205,1.253023,1.282528,1.282528,0
2008-11-10,1.282479,1.292608,1.240095,1.252505,1.252505,0
2008-11-17,1.252897,1.279820,1.243394,1.264606,1.264606,0
2008-11-24,1.263759,1.307412,1.257182,1.267507,1.267507,0
2008-12-01,1.267507,1.284208,1.256297,1.273204,1.273204,0
2008-12-08,1.489891,1.496401,1.280902,1.344502,1.344502,0
2008-12-15,1.343996,1.467998,1.343598,1.397194,1.397194,0
2008-12-22,1.397995,1.414007,1.391595,1.410596,1.410596,0
2008-12-29,1.410596,1.435998,1.384294,1.395790,1.395790,0
2009-01-05,1.395790,1.395790,1.331806,1.341652,1.341652,0
2009-01-12,1.342696,1.344393,1.304308,1.336362,1.336362,0
2009-01-19,1.335791,1.337632,1.277596,1.290206,1.290206,0
2009-01-26,1.290206,1.331505,1.274990,1.275201,1.275201,0
2009-02-02,1.275396,1.306728,1.271003,1.296075,1.296075,0
2009-02-09,1.296092,1.308404,1.273107,1.279100,1.279100,0
2009-02-16,1.279394,1.293293,1.252176,1.279607,1.279607,0
2009-02-23,1.279100,1.298499,1.259192,1.259604,1.259604,0
2009-03-02,1.259827,1.274096,1.246898,1.271731,1.271731,0
2009-03-09,1.271698,1.295437,1.255997,1.288378,1.288378,0
2009-03-16,1.288627,1.373193,1.287200,1.362806,1.362806,0
